"mrun","female","priority","high_performance"
12844057,1,1,0
12847704,1,1,0
12858854,0,1,0
12865068,0,0,1
12917188,0,1,0
12921375,1,1,0
12926602,0,1,0
12928902,0,1,0
12937873,0,1,0
12965288,0,0,0
12967182,1,0,0
12983361,1,1,0
12987381,1,1,0
12996626,1,1,0
12999736,0,1,0
13003989,1,0,0
13012838,0,1,0
13022901,1,0,0
13027408,0,0,0
13057056,1,0,1
13058272,1,1,1
13064732,1,1,0
13083234,0,1,0
13084944,1,1,0
13089470,0,1,0
13090693,1,1,0
13090808,1,0,0
13097230,0,0,0
13101878,0,1,0
13127223,0,1,0
13158583,1,1,0
13160084,1,0,0
13160314,1,0,0
13179443,1,0,0
13185224,1,1,0
13193234,1,1,0
13202228,0,0,0
13216068,1,1,0
13222683,0,1,0
13234660,0,1,0
13254816,1,1,0
13261381,0,0,0
13276399,1,1,0
13276825,0,0,0
13287075,0,0,0
13292146,1,1,0
13313026,0,1,0
13314711,1,1,0
13333371,1,0,0
13344505,1,1,0
13346032,0,1,0
13346070,1,0,0
13381287,1,1,0
13384881,0,1,0
13388534,1,1,1
13391584,1,0,0
13400835,1,0,0
13415911,0,0,1
13428427,1,1,1
13429501,1,0,0
13439005,1,1,0
13442699,0,1,0
13443554,1,0,0
13447324,0,1,0
13450052,0,1,0
13459029,0,1,0
13461401,0,1,0
13468497,1,0,0
13470944,1,1,0
13473771,1,1,0
13482921,1,1,0
13484149,1,0,0
13493382,0,0,0
13496116,0,1,0
13503171,1,0,1
13506491,1,0,1
13518331,1,1,0
13525226,1,1,0
13527755,1,1,0
13527847,1,1,0
13537916,1,1,0
13539938,1,1,1
13560917,1,0,0
13570346,1,0,0
13576648,1,0,0
13580139,0,0,0
13597206,1,1,1
13608615,0,1,0
13621442,1,0,0
13628544,1,0,0
13630488,1,1,0
13632246,1,1,1
13661694,1,1,1
13674668,1,1,0
13695890,1,1,0
13707690,0,1,0
13711243,1,0,0
13715852,0,1,0
13719349,0,1,0
13727983,0,0,0
13728631,1,1,0
13733338,1,0,1
13734938,0,1,0
13735644,0,0,1
13741105,1,0,0
13751455,1,1,0
13757127,1,0,1
13758387,1,1,0
13758561,1,1,0
13776518,1,1,0
13784936,0,1,0
13807593,1,1,0
13808665,0,0,0
13824632,1,1,0
13828770,0,1,0
13834221,0,1,0
13843389,1,1,0
13887681,0,1,0
13887807,1,1,0
13914520,1,0,0
13919853,1,0,1
13927742,1,0,1
13955369,1,0,0
13957804,1,1,0
13959256,0,0,0
13968467,0,1,0
13975282,1,0,0
13991043,0,1,0
14000987,0,0,0
14015672,0,1,0
14057685,1,0,1
14063851,1,0,0
14072571,0,1,0
14082876,1,0,0
14087777,0,0,0
14092661,1,1,0
14117968,1,1,0
14124956,0,1,0
14127352,1,0,0
14144344,0,0,0
14160451,1,1,0
14170832,1,0,0
14178050,0,1,0
14218341,0,0,0
14231952,0,0,1
14236817,0,1,0
14254208,0,1,0
14258167,0,0,0
14260229,1,0,0
14277052,1,0,0
14292002,1,1,1
14298457,0,1,0
14310560,1,0,0
14331241,0,0,0
14340282,0,0,0
14348690,0,1,1
14368171,1,0,1
14377577,0,0,0
14383269,1,1,0
14385501,1,1,1
14391298,1,1,0
14398362,1,1,0
14402777,0,0,0
14403740,1,0,0
14404730,1,1,1
14424965,0,0,0
14427646,1,0,0
14427802,0,0,1
14431388,1,1,1
14445746,0,0,0
14448908,0,0,1
14451994,0,1,0
14469010,0,0,0
14479276,0,1,0
14490306,1,0,0
14521160,1,1,0
14521279,0,1,0
14532711,1,1,0
14534925,0,0,0
14546511,1,1,0
14578891,1,0,0
14591053,0,0,0
14599984,1,0,0
14603846,0,0,0
14640807,1,1,0
14652221,0,1,0
14660177,1,0,0
14662137,1,1,0
14662574,0,1,0
14679445,0,0,0
14686000,0,1,1
14694889,1,1,0
14694974,0,0,0
14705474,1,0,0
14709138,0,0,0
14716198,1,0,0
14717255,1,0,0
14725164,1,0,1
14749678,0,1,0
14753044,1,1,0
14759105,1,0,0
14777530,1,1,0
14782142,1,0,0
14786225,1,0,0
14786968,1,0,0
14817475,1,1,0
14824033,1,1,0
14830167,1,1,0
14836542,1,1,0
14838062,1,1,1
14838161,0,0,0
14844336,0,0,0
14864412,0,0,1
14869986,1,0,0
14876087,0,0,0
14876689,0,1,0
14880506,0,0,0
14882957,1,0,0
14885430,0,1,0
14885808,0,0,0
14900642,0,0,0
14902207,0,1,0
14903018,0,1,0
14904021,1,0,0
14906134,1,0,0
14926903,1,0,0
14940932,1,0,1
14953467,0,0,0
14960349,1,1,0
14969732,1,0,0
14975205,0,1,0
14977554,0,0,0
14991219,1,1,0
15003081,0,1,0
15008216,0,1,0
15014775,0,1,0
15028586,1,1,0
15028589,1,0,0
15038476,1,1,0
15039656,0,1,0
15040428,1,0,0
15048362,0,1,0
15057407,1,1,1
15058774,1,1,0
15078144,0,0,0
15081071,0,0,0
15082964,1,0,0
15088718,1,1,0
15097919,1,0,1
15112158,1,0,0
15128809,1,1,0
15158674,1,0,0
15164700,0,0,0
15188325,1,0,0
15201751,0,0,0
15203472,1,0,0
15233209,0,1,0
15271079,0,1,0
15290063,1,0,0
15305661,1,1,0
15313854,0,0,0
15314648,0,1,0
15320528,1,1,1
15326854,0,1,0
15339450,0,0,0
15342182,0,1,0
15345655,1,0,0
15346370,1,0,0
15349033,1,0,0
15350582,0,0,0
15357001,1,0,1
15359262,1,0,0
15361212,0,0,0
15367698,0,1,0
15371952,1,0,0
15400758,1,1,1
15410683,0,1,0
15442766,0,0,0
15443094,0,1,0
15448289,1,1,0
15451724,1,0,0
15463635,0,1,0
15470827,1,1,0
15475719,1,0,0
15478340,1,1,0
15482068,1,0,1
15488140,0,0,1
15490209,0,1,0
15496212,1,0,0
15503680,0,1,0
15507635,0,0,0
15534206,0,0,0
15555725,0,0,0
15571656,1,1,0
15573498,0,1,0
15578285,1,1,1
15578412,0,0,0
15610397,0,1,0
15617281,1,1,1
15626688,0,0,1
15641954,1,1,0
15647572,0,1,0
15647704,0,0,0
15653323,1,0,1
15661451,1,0,0
15667851,0,1,0
15675938,0,0,0
15687851,1,0,0
15689389,1,1,0
15699133,0,1,1
15709230,0,1,0
15753077,0,1,1
15771611,1,0,0
15780195,1,1,0
15791235,1,1,0
15812290,1,0,1
15814876,1,1,1
15815868,1,1,0
15816576,0,0,0
15822653,0,0,0
15824374,0,1,0
15826533,1,1,0
15836736,1,0,1
15841572,1,1,0
15843287,0,1,0
15899024,1,1,0
15901819,1,0,0
15908065,1,0,1
15918001,0,1,0
15926583,1,1,1
15935438,0,0,1
15940509,1,0,0
15941928,1,0,1
15942913,1,1,1
15950518,1,1,0
15950933,0,0,0
15953937,0,1,0
15972882,1,1,0
15980509,1,0,0
15985542,1,0,0
15999716,0,0,1
16001364,1,1,0
16009944,0,0,0
16011051,1,0,1
16012869,0,0,0
16026376,1,0,0
16084020,1,0,0
16084650,1,0,0
16098080,1,0,0
16118820,1,1,0
16138211,1,1,1
16154295,0,0,0
16165533,0,1,0
16178769,1,0,0
16201953,0,0,0
16203457,1,0,0
16212011,0,0,1
16239906,0,0,1
16262279,0,1,0
16279869,0,0,0
16298719,1,0,1
16299764,1,0,0
16302512,1,1,0
16307888,1,0,0
16330120,1,1,0
16331567,1,1,0
16332393,0,0,0
16342378,1,0,0
16345574,0,1,0
16350883,1,1,1
16354551,0,0,0
16358794,1,0,0
16365262,1,1,0
16387909,1,1,0
16406176,1,0,0
16413992,0,0,1
16433819,0,0,0
16448416,0,0,1
16451331,0,1,0
16467909,1,0,0
16473069,0,1,0
16479202,1,0,0
16488876,0,0,0
16490237,1,1,0
16500858,1,1,0
16513281,0,1,0
16514942,1,0,1
16548460,0,1,0
16557294,0,0,0
16566248,0,1,0
16566533,1,0,0
16578123,0,1,0
16587752,0,0,0
16588187,1,1,0
16604457,0,1,0
16613035,1,1,0
16620213,0,1,0
16634302,0,1,1
16663125,1,1,0
16665015,1,1,0
16669232,1,0,0
16684826,0,0,0
16687730,1,0,0
16722387,0,1,1
16722905,0,1,0
16724809,0,0,0
16725851,0,1,0
16732502,1,1,0
16740224,1,0,0
16763155,0,0,0
16770531,1,0,1
16779848,1,1,0
16783172,1,0,0
16788096,1,0,0
16788953,1,0,0
16809714,0,0,1
16814557,0,1,0
16816381,0,1,0
16818493,0,1,0
16852888,0,1,0
16870183,1,1,0
16877559,0,1,0
16886096,1,0,0
16898897,1,1,0
16899801,1,1,0
16904131,0,0,0
16909216,1,1,1
16914541,0,1,0
16917689,0,1,0
16920260,1,1,0
16927433,0,0,1
16929790,1,1,0
16943278,0,1,0
16945757,1,0,0
16948571,1,1,1
16950104,0,1,1
16972784,1,0,1
16987112,1,0,0
16988153,0,0,0
16988939,0,1,0
16993835,0,0,0
17028295,0,1,0
17038808,0,0,0
17078797,0,0,0
17083357,0,0,0
17102215,1,0,0
17112457,1,0,0
17130310,1,0,0
17139782,0,1,1
17157735,1,1,0
17158372,1,1,0
17166909,0,0,1
17173917,1,1,1
17176103,1,0,1
17208117,0,0,0
17242759,0,0,0
17260221,1,1,0
17265280,0,1,1
17296904,1,1,1
17305215,0,1,0
17306851,1,0,0
17328521,1,1,1
17332102,1,1,1
17336553,1,0,0
17347640,1,0,1
17347796,1,1,0
17362840,0,1,0
17379502,0,0,0
17389605,1,0,0
17406154,1,1,1
17412271,1,1,0
17412930,0,0,0
17421177,0,0,0
17430607,0,0,0
17433095,1,0,1
17445378,1,1,0
17480996,0,1,0
17494515,1,1,0
17495325,1,1,0
17501249,0,1,1
17502496,0,1,1
17512163,1,1,0
17514403,1,1,0
17517179,0,1,0
17519234,1,0,0
17520360,0,0,1
17523382,0,1,1
17527818,0,1,0
17535632,1,1,0
17540019,1,1,0
17541889,1,0,0
17542922,1,0,0
17555650,1,0,0
17570919,0,1,0
17571693,0,1,0
17574514,1,1,0
17610419,1,1,1
17653466,1,0,0
17653512,0,1,0
17657992,1,0,0
17664812,0,0,0
17668268,1,0,1
17680668,0,1,1
17686288,1,1,0
17692686,1,0,0
17702836,0,0,0
17704889,0,1,0
17705567,0,0,1
17711578,1,1,0
17714818,1,1,0
17728409,0,1,0
17750148,0,1,1
17750335,1,0,0
17752037,1,1,1
17768348,1,1,0
17770818,0,0,0
17771454,1,1,0
17775485,0,1,0
17781290,0,0,0
17789813,1,1,0
17791605,1,1,0
17795764,0,0,0
17797912,0,1,0
17805327,1,0,0
17809890,0,0,0
17830267,1,1,0
17836983,0,0,0
17837043,0,1,0
17844294,1,1,0
17852304,0,1,0
17877468,0,0,1
17878882,0,1,0
17902404,0,0,0
17943848,1,1,0
17946462,1,1,0
17952762,0,1,1
17955435,1,1,0
17957855,1,0,0
17959163,0,0,0
17963819,1,1,0
17976423,1,1,0
17981658,1,0,1
17982252,0,0,0
17999798,1,0,0
18001353,1,1,0
18024357,0,1,0
18039812,1,1,0
18067695,0,0,0
18068270,0,0,0
18084084,0,1,0
18095233,0,0,0
18095795,0,1,0
18100525,1,1,0
18105361,0,1,0
18111730,1,1,0
18141583,1,1,0
18149194,1,0,0
18152308,0,0,0
18152420,0,1,0
18158101,0,0,0
18163498,0,0,0
18164466,1,1,0
18164507,0,0,0
18170108,1,1,0
18173767,1,0,0
18179978,1,0,0
18205069,1,0,1
18214964,0,1,0
18220476,1,1,0
18263788,0,1,0
18274158,1,0,0
18275820,1,1,0
18281280,1,1,0
18285401,1,0,0
18294438,1,0,0
18332003,1,0,0
18357700,1,1,0
18365286,1,1,0
18372521,1,0,0
18375519,0,0,1
18376464,0,1,0
18379706,1,1,0
18382139,1,1,0
18383454,1,1,0
18388634,1,0,0
18392044,1,1,0
18421423,1,1,0
18429223,1,0,0
18467847,0,0,0
18468275,0,1,0
18483779,1,0,0
18484233,0,0,0
18488594,0,0,1
18493040,1,1,0
18496414,1,1,0
18501330,0,1,0
18504928,0,0,0
18505063,0,1,0
18513081,0,0,1
18517702,1,0,0
18535664,1,1,0
18543163,0,1,0
18544270,1,0,1
18552906,0,0,0
18562738,1,0,0
18564478,0,1,0
18573649,0,1,0
18574243,1,0,0
18575769,1,0,0
18576265,0,0,0
18579276,0,0,0
18588549,1,1,0
18604233,0,0,0
18611314,1,1,0
18638359,1,1,0
18643604,1,0,0
18644497,1,1,1
18678255,1,0,0
18683547,1,1,0
18699728,0,1,0
18703037,0,0,0
18703470,1,0,1
18710385,0,1,0
18713613,0,1,0
18717682,0,0,0
18731841,0,0,0
18734491,0,0,0
18757698,0,0,0
18759589,1,1,0
18787825,1,0,0
18796442,0,0,0
18813754,1,1,0
18815386,1,1,0
18839800,0,1,0
18846535,0,1,0
18848739,0,0,0
18853900,1,1,0
18871701,0,0,0
18878010,1,1,0
18882860,0,1,1
18907102,1,0,0
18920980,0,1,0
18922667,0,0,0
18936760,0,0,0
18959833,0,1,0
18965059,1,1,0
18972149,1,1,0
19003746,1,1,1
19004112,1,1,0
19011294,0,1,1
19018489,1,0,0
19025554,0,1,0
19025608,0,1,0
19031104,1,1,0
19040803,0,0,0
19047074,0,0,0
19060792,0,0,0
19071001,1,1,0
19074703,1,0,0
19077862,0,0,0
19081158,1,0,0
19089360,0,0,0
19093311,0,0,0
19109665,0,1,0
19124668,0,0,0
19124849,1,1,0
19126418,1,0,0
19127302,0,1,1
19169618,0,1,0
19175326,1,1,0
19179002,1,1,0
19188100,0,1,0
19191000,1,0,0
19213599,0,1,0
19228503,1,0,0
19233050,1,0,0
19237091,1,0,0
19244585,1,0,0
19248348,1,1,0
19253031,0,0,0
19266754,0,1,0
19267782,1,1,1
19268913,1,1,0
19278091,0,0,0
19294711,1,1,1
19298646,1,1,0
19309450,0,0,0
19321881,1,0,0
19326075,1,0,0
19328996,0,0,0
19339240,1,0,1
19341643,1,0,0
19358037,1,0,1
19365239,1,1,1
19374088,1,0,0
19397756,1,1,1
19398386,1,1,0
19429223,0,0,0
19431286,0,0,0
19458206,0,1,0
19461278,0,0,1
19481585,1,1,0
19514139,1,1,0
19515758,0,1,0
19581405,1,1,0
19595208,1,0,0
19633831,1,0,0
19635143,1,0,1
19665456,0,0,0
19674830,0,1,1
19700612,1,1,0
19704418,0,0,0
19744421,1,0,0
19751330,0,1,0
19770668,1,1,0
19776679,0,1,0
19779807,1,1,0
19781992,0,1,0
19794047,0,1,0
19816175,1,0,0
19820773,0,0,0
19823565,1,0,0
19823863,1,0,0
19825708,1,0,0
19832258,0,0,0
19838035,1,1,0
19842215,0,1,1
19848193,0,0,0
19878966,0,0,0
19886215,0,1,0
19886958,0,1,0
19887109,1,0,1
19891850,1,0,1
19895451,1,0,0
19907087,0,1,0
19912292,0,0,0
19940366,1,0,0
19941819,0,0,0
19967709,0,0,0
19967788,0,1,0
19979130,0,1,0
19981061,1,0,0
19982431,0,0,0
19986454,0,0,0
19996602,0,0,0
20000856,0,1,0
20019669,1,0,0
20031338,0,1,1
20036468,1,1,0
20042516,1,1,0
20059902,1,0,1
20071560,1,0,0
20074958,0,0,0
20078954,0,1,0
20089226,0,1,0
20091362,0,1,0
20100602,0,1,0
20104517,0,0,0
20107557,1,1,0
20116660,0,0,1
20126185,0,1,0
20140557,0,1,0
20143981,1,0,0
20147942,0,1,0
20156588,1,1,0
20160690,1,0,0
20163754,1,1,0
20165997,1,1,0
20183196,0,0,1
20188097,1,0,0
20189193,0,0,0
20201677,0,1,0
20218854,1,0,1
20223218,1,1,0
20235001,0,1,0
20238857,0,1,0
20249051,0,1,0
20258300,1,0,0
20259601,1,1,0
20269373,1,1,0
20277627,0,1,1
20286807,0,1,0
20342992,1,0,1
20374385,0,1,0
20385669,0,1,0
20391232,1,1,1
20399446,0,0,0
20416822,1,1,1
20434739,0,1,0
20442266,0,0,0
20459756,0,0,0
20460266,1,1,0
20493822,0,0,0
20506317,1,0,0
20513478,1,0,0
20521900,1,1,0
20524065,0,0,0
20545256,0,0,1
20557317,0,1,0
20561454,1,0,0
20572443,1,0,0
20602298,0,1,0
20605043,0,0,0
20619525,0,1,0
20629871,1,1,0
20670959,1,1,0
20690303,0,1,1
20701598,1,0,0
20709492,1,1,0
20712502,1,0,0
20728419,1,1,0
20729129,1,1,0
20737482,1,1,0
20744804,0,1,0
20745878,0,0,0
20755426,0,1,0
20757745,1,1,0
20761674,1,0,1
20767793,0,0,0
20769026,0,0,0
20776567,1,1,0
20777835,1,1,1
20786768,1,0,0
20806094,0,1,0
20809070,1,1,1
20824670,0,1,0
20849467,0,1,0
20858642,1,0,0
20894129,1,0,0
20899119,1,0,0
20906787,1,1,0
20920730,1,0,0
20923118,1,1,0
20938921,0,1,0
20941367,0,1,0
20942575,1,1,0
20949573,0,0,0
20960097,1,0,1
20962553,1,0,0
20975954,1,0,0
20979399,0,0,0
21017891,1,1,0
21035468,1,1,1
21045009,0,1,1
21045682,0,1,0
21048080,0,1,0
21055489,0,0,0
21055899,1,0,0
21060962,1,1,0
21079551,0,0,1
21104385,0,1,0
21118129,1,0,0
21121357,0,1,0
21126037,1,0,0
21128744,1,1,0
21131044,1,1,0
21137762,1,1,0
21144767,0,1,0
21150346,0,1,0
21158998,1,0,0
21159572,1,1,1
21168567,0,0,0
21170335,1,0,1
21174309,0,0,0
21180920,0,1,0
21200010,0,1,0
21210742,1,1,0
21215529,1,0,0
21226421,1,0,0
21230943,1,0,0
21233781,0,1,1
21241248,1,1,0
21243517,0,1,0
21247713,0,1,0
21249188,1,0,0
21262561,1,1,0
21265389,1,1,0
21274429,0,1,0
21278892,1,1,0
21279397,1,1,0
21283877,1,1,0
21306439,0,1,0
21311434,0,0,1
21329506,0,1,0
21329607,0,0,0
21345510,0,0,0
21351542,1,1,0
21356613,0,1,0
21372384,1,1,0
21376197,0,1,0
21388748,0,0,1
21389273,1,0,0
21396619,1,1,0
21397175,1,0,0
21397213,0,1,1
21401141,0,0,1
21435065,1,0,0
21439382,1,1,0
21447343,1,1,0
21455361,0,0,0
21461955,0,0,0
21463992,1,1,0
21465957,0,0,0
21484580,0,0,1
21487107,1,0,0
21490452,0,0,0
21497617,0,1,0
21523261,0,1,0
21526411,1,0,0
21527843,1,0,1
21560866,0,0,0
21560895,0,0,0
21565280,0,1,0
21591939,1,0,0
21592856,0,1,0
21595922,0,1,1
21647353,1,0,0
21649176,0,1,1
21658718,1,1,0
21665034,0,0,0
21665880,1,1,0
21668144,1,1,1
21673134,0,0,0
21676107,0,0,0
21684100,0,1,0
21719304,0,0,0
21720637,1,1,0
21736716,1,1,0
21753571,0,1,0
21754740,0,1,0
21754845,1,0,0
21762841,1,0,0
21767406,0,1,0
21768987,0,0,0
21771899,1,1,0
21776952,0,0,0
21780642,0,0,1
21782019,0,1,0
21787476,1,0,0
21788182,0,0,0
21793967,1,1,0
21794696,1,0,0
21805143,0,1,0
21809292,1,0,0
21824782,1,0,0
21833731,0,1,0
21856615,0,1,0
21862600,0,1,0
21868298,0,0,0
21871856,0,1,0
21887495,1,1,0
21890123,1,0,1
21891982,1,0,0
21894872,0,0,0
21897663,1,0,1
21909099,1,1,1
21920351,1,1,0
21921237,0,1,0
21923145,1,1,0
21923697,1,1,0
21934243,0,0,0
21941653,1,1,0
21955526,1,1,0
21958753,0,0,0
21960521,0,0,0
21975548,1,0,1
21978786,0,1,0
21982285,0,1,1
21991191,1,0,0
22007570,1,1,0
22023151,1,1,0
22045665,0,1,0
22048919,1,0,0
22062539,1,1,0
22062855,0,0,0
22071183,1,0,0
22087451,0,1,0
22094411,0,0,0
22099423,1,1,1
22099587,0,1,0
22105250,0,1,0
22107361,0,1,0
22108479,1,0,0
22110366,1,1,0
22122201,0,0,0
22130441,1,0,0
22132774,1,1,0
22149940,1,1,0
22155649,1,1,1
22163282,0,0,0
22168945,1,0,0
22171147,1,0,1
22173480,0,1,0
22178395,1,0,0
22184004,0,0,0
22191282,0,0,0
22194312,0,0,0
22194630,1,1,0
22200287,0,0,0
22203051,0,1,0
22205618,0,0,0
22231506,0,1,0
22233999,0,0,0
22236228,0,0,1
22241895,0,1,0
22243844,0,0,0
22251382,0,1,0
22251852,1,0,1
22257702,0,0,1
22263073,1,0,0
22265723,1,0,0
22276527,0,1,0
22289558,1,1,0
22292396,0,0,0
22296252,1,1,0
22297951,0,1,0
22299080,0,0,0
22303301,0,1,0
22309347,1,1,1
22316254,1,0,0
22321206,0,0,1
22327281,1,0,0
22330559,0,0,0
22342036,1,1,0
22347695,1,1,1
22355460,0,0,0
22365598,1,1,0
22381200,0,0,0
22382268,1,0,0
22395513,1,1,0
22397476,1,0,0
22411602,0,0,1
22416343,0,1,0
22455219,1,0,0
22497567,1,1,1
22500028,1,0,0
22505420,0,0,0
22508321,1,0,1
22519601,0,0,0
22531641,0,0,0
22544857,0,0,0
22553653,0,1,0
22557947,0,0,0
22573814,0,1,0
22577681,0,1,0
22581905,1,0,1
22583777,0,0,0
22593640,1,0,0
22600083,0,0,0
22601259,0,1,0
22604845,0,1,0
22613408,0,0,0
22632747,0,1,0
22636172,1,1,0
22637791,1,1,0
22637966,0,1,0
22639585,0,0,1
22640564,0,0,0
22651177,1,0,0
22672861,1,0,0
22685247,1,0,0
22686409,0,1,0
22694977,0,0,0
22722601,1,1,0
22728746,1,0,0
22733103,0,1,0
22747019,1,0,0
22747825,1,1,0
22749779,0,0,0
22754312,1,1,0
22756166,1,1,0
22756639,0,1,0
22767693,1,1,0
22778646,1,0,0
22784723,1,0,0
22793465,0,1,0
22807178,1,0,0
22808138,1,1,0
22818746,0,1,0
22819652,0,1,0
22832474,1,1,0
22842190,0,1,1
22843443,1,1,1
22850898,0,1,0
22853050,1,0,0
22867628,0,0,0
22875653,1,0,0
22877107,0,0,0
22878590,0,1,0
22884281,1,0,1
22894816,0,1,0
22914348,0,1,0
22920156,1,0,1
22923169,0,1,0
22928349,0,1,0
22935391,0,0,1
22949408,1,1,0
22996635,1,0,0
23022209,0,1,0
23031187,1,1,0
23046234,0,0,1
23059375,1,1,1
23075600,1,1,1
23077443,1,1,0
23080529,1,1,0
23108396,0,1,0
23111577,1,0,0
23112396,1,0,0
23119745,0,1,0
23126402,0,1,0
23141968,1,0,0
23147172,0,1,0
23160149,1,0,0
23161849,1,1,0
23165390,0,0,0
23170005,1,0,1
23178541,0,0,0
23192434,1,0,0
23200568,0,1,1
23216753,0,0,0
23235067,1,1,0
23241038,0,1,1
23248153,1,0,1
23266555,0,1,1
23269053,0,1,1
23273162,1,0,0
23284422,1,0,0
23288878,1,0,0
23292603,0,0,0
23295738,0,1,0
23312456,0,1,0
23315311,1,0,0
23319231,1,0,0
23324642,1,0,0
23339407,1,1,0
23342382,1,0,0
23346093,0,1,0
23356873,0,0,1
23369162,0,0,0
23372316,1,1,1
23376970,1,0,1
23381221,1,1,0
23401107,0,0,0
23407677,1,1,0
23413383,1,0,0
23414018,0,1,0
23417925,0,0,0
23419864,1,0,1
23454930,0,0,0
23464527,1,1,0
23472652,1,1,0
23473534,1,0,1
23473831,1,1,0
23482779,1,0,0
23503045,0,0,0
23524182,0,0,0
23528681,0,1,0
23531165,1,1,0
23542553,0,0,0
23551891,1,1,0
23551988,0,0,0
23561460,0,1,1
23568263,0,1,0
23588601,1,0,1
23591170,1,1,0
23597935,0,1,0
23602060,0,0,0
23602805,1,0,0
23614120,1,1,0
23614432,1,0,1
23621414,0,1,0
23622130,0,1,0
23654290,1,0,0
23655173,0,1,1
23666786,1,0,0
23666819,1,0,0
23672469,0,1,1
23674187,0,1,0
23680906,1,1,1
23694348,1,0,0
23706680,1,0,1
23716203,1,1,0
23736250,1,1,1
23757295,1,1,0
23757702,0,1,0
23761755,1,1,1
23766049,0,1,0
23766978,0,0,0
23774250,1,0,1
23784209,0,1,0
23789833,0,1,1
23791748,0,1,0
23793488,0,0,0
23798470,1,0,0
23800232,0,1,0
23808769,1,0,0
23813153,0,0,0
23814950,0,0,0
23818553,0,0,0
23857235,1,0,0
23871828,0,1,0
23893008,1,0,0
23895665,1,1,0
23899651,1,1,0
23900678,1,0,0
23914705,0,1,0
23918006,1,0,0
23928107,0,0,0
23934931,1,1,0
23940810,0,1,0
23941800,0,0,0
23945364,0,0,0
23947842,1,1,0
24016001,0,0,0
24019379,1,1,0
24019915,1,1,0
24022111,1,1,0
24029851,0,0,0
24035290,1,0,0
24035913,1,1,0
24041682,0,1,1
24071991,0,0,1
24072696,1,0,0
24100418,1,0,0
24110026,0,0,0
24111176,1,0,0
24120538,0,0,0
24127376,1,0,1
24142912,0,1,0
24144527,0,1,0
24153649,1,1,0
24164263,1,1,0
24188680,0,1,0
24189067,0,1,1
24196023,0,1,0
24197551,0,0,0
24202628,1,0,0
24208972,0,0,0
24209235,1,1,1
24214472,1,1,0
24222501,1,1,0
24224295,1,0,0
24230181,1,1,0
24247160,1,0,0
24264598,1,1,1
24272457,0,0,0
24278979,1,0,0
24285402,1,0,0
24286149,0,0,0
24290348,1,1,0
24315041,1,1,0
24317986,1,1,0
24330537,1,0,0
24335335,1,1,0
24368091,1,1,0
24370736,0,1,0
24385296,0,1,0
24397777,1,1,1
24401336,0,1,0
24405265,0,1,0
